DATE,ACCOUNT_NAME,ASSET_NAME,NET_WORTH,MONTH_INVESTMENT,MONTH_PROFIT
2022/01,NVIDIA,NVIDIA,263916.8,0,0
2022/07,NVIDIA,NVIDIA,262883.55,129986.7,-131019.95
2022/08,NVIDIA,NVIDIA,343389.52,0,80505.97
2022/09,NVIDIA,NVIDIA,322775.1,40607.19,-61221.61
2022/10,NVIDIA,NVIDIA,320641.68,53440.28,-55573.7
2022/11,NVIDIA,NVIDIA,366606,0,45964.32
2022/12,NVIDIA,NVIDIA,447739.2,0,81133.2
2023/01,NVIDIA,NVIDIA,424115.4,49362.6,-72986.4
2023/02,NVIDIA,NVIDIA,576875.25,0,152759.85
2023/03,NVIDIA,NVIDIA,754039.44,77172.48,99991.71
2023/04,NVIDIA,NVIDIA,996946.92,101222.58,141684.9
2023/05,NVIDIA,NVIDIA,1004555.07,0,7608.15
2023/06,NVIDIA,NVIDIA,1081571.4,-294039.4,371055.73
2023/07,NVIDIA,NVIDIA,1361637,125736.75,154328.85
2023/08,NVIDIA,NVIDIA,1480464.72,0,118827.72
2023/09,NVIDIA,NVIDIA,1599893.46,10737.54,108691.2
2023/10,NVIDIA,NVIDIA,1571872.5,152424,-180444.96
2023/11,NVIDIA,NVIDIA,1463467.5,0,-108405
2023/12,NVIDIA,NVIDIA,1329032,-326482.7,192047.2
2024/01,NVIDIA,NVIDIA,1566556.2,164716.2,72808
2024/02,NVIDIA,NVIDIA,1977921.36,0,411365.16
2024/03,NVIDIA,NVIDIA,2509928.34,-21742.56,553749.54
2024/04,NVIDIA,NVIDIA,3160949.472,318042.144,332978.988
2024/05,NVIDIA,NVIDIA,2992858.5,0,-168090.972
2024/06,NVIDIA,NVIDIA,3098488.8,0,105630.3
2022/01,THS,A-share,58408,0,0
2022/07,THS,A-share,57479,10000,0
2022/08,THS,A-share,56535,0,0
2022/09,THS,A-share,57473,0,0
2022/10,THS,A-share,50971,0,0
2022/11,THS,A-share,48900,0,0
2022/12,THS,A-share,54378,0,0
2023/01,THS,A-share,55018,0,0
2023/02,THS,A-share,55732,-1880,0
2023/03,THS,A-share,54008,0,0
2023/04,THS,A-share,57316,0,0
2023/05,THS,A-share,54993,0,0
2023/06,THS,A-share,56053,0,0
2023/07,THS,A-share,59045,0,0
2023/08,THS,A-share,63770,0,0
2023/09,THS,A-share,61458,0,0
2023/10,THS,A-share,58256,0,0
2023/11,THS,A-share,57423,0,0
2023/12,THS,A-share,59996,0,0
2024/01,THS,A-share,36863,-23022,0
2024/02,THS,A-share,33994,0,0
2024/03,THS,A-share,35541,0,0
2024/04,THS,A-share,22208,-14315,0
2024/05,THS,A-share,24168,0,0